Nav_Date,Nifty_100,Nifty_Midcap_150,Nifty_Smallcap_250,Nifty_500,F001,F002,F003,F004,F005,F006,F007,F008,F009,F010,F011,F012,F013,F014,F015,F016,F017,F018,F019,F020,F021,F022,F023,F024,F025,F026,F027,F028,F029,F030,F031,F032,F033,F034,F035,F036,F037
2020-07-08,10870.950,5826.050,4224.950,8785.000,203.300,29.420,190.269,416.826,201.632,39.270,226.723,116.360,238.820,38.340,54.538,48.761,121.160,36.550,95.370,25.363,28.790,50.389,32.957,18.904,21.930,66.071,373.520,11.490,210.666,100.148,9.206,287.630,117.426,54.135,662.490,11.690,39.068,551.583,77.579,33.280,141.716
2020-07-09,10962.700,5835.750,4260.100,8851.500,205.120,29.680,191.717,420.116,203.550,39.600,228.365,117.426,239.670,38.520,54.819,48.912,121.530,36.672,96.033,25.597,28.990,50.688,33.239,18.987,22.280,66.447,377.240,11.590,212.086,100.649,9.273,289.680,117.806,54.435,668.170,11.780,39.423,555.408,78.393,33.423,143.078
2020-07-10,10919.700,5796.750,4246.200,8813.950,204.090,29.630,190.875,417.205,202.705,39.430,227.676,116.733,237.970,38.460,54.577,48.693,120.970,36.498,95.691,25.483,28.920,50.482,33.112,18.870,22.210,66.096,376.080,11.560,211.031,99.924,9.222,287.440,117.547,53.951,664.660,11.740,39.200,550.809,78.137,33.303,142.389
2020-07-13,10953.750,5785.250,4245.900,8834.200,205.080,29.600,191.110,417.674,203.153,39.580,228.326,117.006,238.360,38.180,54.546,48.508,121.090,36.463,95.641,25.465,28.770,50.070,32.997,18.827,22.160,65.961,376.180,11.480,211.435,99.956,9.216,287.650,117.973,54.066,666.940,11.710,39.089,550.480,78.267,33.373,142.422
2020-07-14,10768.600,5721.950,4190.500,8693.350,201.780,29.200,188.575,409.518,199.881,38.900,225.066,115.345,236.500,38.000,54.280,48.192,120.300,36.269,94.843,25.104,28.660,49.662,32.602,18.715,21.840,65.413,371.530,11.380,209.149,98.416,9.113,283.790,117.039,53.295,658.330,11.570,38.730,538.555,77.184,32.922,140.865
2020-07-15,10769.600,5702.300,4187.750,8689.850,201.600,29.190,188.498,408.967,199.946,38.950,224.980,115.523,236.260,38.050,54.335,48.161,120.100,36.110,94.900,25.003,28.570,49.887,32.781,18.708,21.870,65.350,369.480,11.430,208.238,97.870,9.095,283.390,116.773,53.160,658.810,11.570,38.533,537.951,77.043,32.894,140.905
2020-07-16,10879.900,5724.850,4184.800,8766.600,204.040,29.530,190.444,412.888,202.298,39.350,228.132,116.759,238.250,38.210,55.189,48.435,121.090,36.296,95.368,25.037,28.510,50.153,32.857,18.697,21.870,65.361,370.420,11.450,210.256,98.874,9.183,285.670,118.030,53.816,665.610,11.690,38.833,543.547,77.902,33.233,142.212
2020-07-17,11045.850,5791.250,4239.950,8895.300,206.900,29.850,193.108,420.862,205.248,39.920,231.993,118.204,241.030,38.550,55.684,48.946,121.890,36.720,96.624,25.403,28.710,50.654,33.130,18.816,22.000,65.958,375.250,11.510,212.718,100.973,9.304,289.440,119.262,54.435,673.780,11.810,39.323,554.262,78.963,33.801,143.903
2020-07-20,11159.450,5845.100,4279.400,8985.100,209.340,30.250,195.163,423.746,207.063,40.270,234.275,119.292,244.220,38.860,56.229,49.199,122.930,37.046,97.528,25.674,28.860,51.027,33.302,18.905,22.280,66.880,379.830,11.620,215.342,101.407,9.369,292.050,120.498,54.840,680.150,11.950,39.867,556.530,79.799,34.086,145.507
2020-07-21,11283.900,5853.400,4294.900,9070.600,211.180,30.390,197.065,431.396,209.440,40.800,236.907,120.233,244.050,38.740,56.218,49.122,122.940,37.159,97.735,25.813,29.040,50.946,33.299,18.967,22.410,67.304,382.400,11.630,216.315,102.570,9.427,292.940,121.368,55.215,682.790,11.970,39.908,566.368,80.220,34.402,145.768
2020-07-22,11249.450,5851.600,4287.150,9046.600,210.800,30.210,195.719,431.626,208.803,40.730,235.688,119.699,243.970,38.770,56.282,49.067,122.750,37.183,97.920,25.716,29.030,51.148,33.166,18.878,22.410,67.502,381.530,11.590,216.344,102.123,9.396,293.510,120.892,55.470,680.970,11.900,39.904,566.498,79.951,34.208,144.968
2020-07-23,11334.300,5892.500,4318.400,9114.050,212.290,30.400,197.169,435.060,209.712,41.000,236.963,120.578,245.430,39.020,56.664,49.480,123.740,37.480,98.920,26.023,29.330,51.517,33.399,19.015,22.720,68.139,385.300,11.680,217.516,103.177,9.481,296.120,121.426,55.985,686.030,11.970,40.111,571.359,80.477,34.412,146.288
